filename	drug	conc_xMIC	days_predep
counts_1961_CLR_4X_D10.txt	CLR	4	10
counts_1952_DMSO_D10.txt	DMSO	0	10
counts_323_DMSO_D10_0X.txt	DMSO	0	10
counts_429_Pool3_D10_DMSO.txt	DMSO	0	10
counts_328_EMB_D10_0_25X.txt	EMB	0.25	10
counts_329_EMB_D10_0_5X.txt	EMB	0.5	10
counts_330_EMB_D10_1X.txt	EMB	1	10
counts_664_Pool5_0_125X_INH_Day10.txt	INH	0.125	10
counts_665_Pool5_0_25X_INH_Day10.txt	INH	0.25	10
counts_486_Pool2_INH_D10_0_5X.txt	INH	0.5	10
counts_331_LEVO_D10_0_125X.txt	LEVO	0.125	10
counts_332_LEVO_D10_0_25X.txt	LEVO	0.25	10
counts_333_LEVO_D10_0_5X.txt	LEVO	0.5	10
counts_432_Pool4_Linez_D10_0_0625X.txt	LZD	0.0625	10
counts_433_Pool4_Linez_D10_0_125X.txt	LZD	0.125	10
counts_434_Pool5_Linez_D10_0_25X.txt	LZD	0.25	10
counts_324_Rif_D10_0_0625X.txt	RIF	0.0625	10
counts_325_Rif_D10_0_125X.txt	RIF	0.125	10
counts_326_Rif_D10_0_25X.txt	RIF	0.25	10
counts_441_Pool7_Strept_D10_0_25X.txt	STR	0.25	10
counts_442_Pool7_Strept_D10_1X.txt	STR	1	10
counts_1953_VAN_0_0625X_D10.txt	VAN	0.0625	10
counts_1954_VAN_0_125X_D10.txt	VAN	0.125	10
counts_1955_VAN_0_25X_D10.txt	VAN	0.25	10
